airportIataCode,retailerName,description,retailerType,retailerCategory,retailerPriceCategory,retailerFoodSeatingType,searchTags,terminal,concourse,gate,hasDelivery,hasPickup,imageBackground,imageLogo,isActive,isChain,openTimesMonday,openTimesTuesday,openTimesWednesday,openTimesThursday,openTimesFriday,openTimesSaturday,openTimesSunday,closeTimesMonday,closeTimesTuesday,closeTimesWednesday,closeTimesThursday,closeTimesFriday,closeTimesSaturday,closeTimesSunday
PDX,Portland Roasting Coffee,Local Portland brand that has been roasting coffee since 1996.,Food,Coffee/Tea; Breakfast,1,Food Court,,D ,,-14,Y,Y,,prc-logo.png,N,N,4:00 AM,4:00 AM,4:00 AM,4:00 AM,4:00 AM,4:00 AM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM
PDX,Jamba,"Jamba has been making refreshing smoothies, bowls and juices for over 25 years.",Food,Fast Food; Smoothies,1,Food Court,,E,,10,Y,Y,,jamba-logo.png,N,Y,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM
PDX,Beaches Restaurant,"A local restaurant and bar that's not just a cool place, it's a wave of life!",Food,Breakfast; Burger; Sandwich,2,Food Court,,Pre,,-23,Y,Y,,beaches-logo.png,Y,N,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM
PDX,Cafe Yumm!,"A local restaurant that first opened in 1997, Cafe Yumm!® is the state of pure deliciouseness contained in simple, nourishing, beautiful food.",Food,Breakfast; American; Salads,1,Food Court,,C,,6,Y,Y,,cafe-yumm-logo.png,Y,Y,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM
PDX,Bambuza Vietnam Kitchen,"A local business since 2003, Bambuza brings locally-sourced, organic ingredients to ensure the highest quality and to support local growers.",Food,Vietnamese; Soup; Sandwich,1,Food Court,,C,,8,Y,Y,,bambuza-logo.png,Y,N,8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM
PDX,Hopworks Urban Brewery,"Founded in 2007, Hopworks creates exceptional beer and food with sustainable business practices that protect our planet and supports their community.",Food,Bar; Breakfast; Burger; Sandwich,2,Sit Down,,E,,3,Y,Y,,hub-logo.png,Y,N,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,1:30 PM,1:30 PM,1:30 PM,1:30 PM,1:30 PM,1:30 PM,1:30 PM
PDX,Bangkok Xpress,"Bangkok Express started as a food cart in Portland. Always fresh, simply delicious will continue to be at the forefront when you order from Bangkok Xpress.",Food,Thai,1,Food Court,,Pre,,-23,Y,Y,,bangkok-logo.png,Y,N,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,CLOSED,10:00 AM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,CLOSED,4:00 PM
PDX,Tillamook Market,"Tillamook Creamery has been around for over 100 years. They now serve juicy burgers, grilled cheese sandwiches and more not at Tillamook Market here at PDX.",Food,Sandwich; Soup; Salad; Burger,2,Food Court,,E,,9,Y,Y,,tillamook-logo.png,Y,Y,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,2:00 PM,2:00 PM,2:00 PM,2:00 PM,2:00 PM,2:00 PM,2:00 PM
PDX,Panda Express,"Famous for their world famous Orange Chicken, Panda Express creates a flavorful variety of American Chinese dishes that appeal to the varying preferences and tastes of their guests.",Food,Fast Food; Chinese,1,Food Court,,Pre,,-23,Y,Y,,panda-logo.png,Y,Y,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:30 AM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM
PDX,Hissho Sushi,"Local brand Hissho Sushi takes the lead in responsible sourcing and culinary innovation to deliver fresh, restaurant-style sushi.",Food,Sushi; Japanese,2,Food Court,,D ,,5,Y,Y,,hissho-logo.png,Y,N,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
PDX,Henry's Tavern,"Henry's Tavern is an American Bar and Grill that has been brewing beer for over 100 years. Their menu features delicious burgers, aritsan sandwiches, salads and more.",Food,Breakfast; Bar; American; Sandwich; Burger,2,Grab n Go,,C,,11,Y,Y,,henrys-logo.png,N,N,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,11:00 PM,11:00 PM,11:00 PM,11:00 PM,11:00 PM,11:00 PM,11:00 PM
PDX,Sumo Sushi,,Food,Sushi,1,Sit Down,,Pre,,-23,Y,Y,pdx-sumo-background.png,pdx-sumo-logo.png,Y,N,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,CLOSED,CLOSED,3:00 PM,3:00 PM,3:00 PM,3:00 PM,3:00 PM,CLOSED,CLOSED
