airportIataCode,retailerName,description,retailerType,retailerCategory,retailerPriceCategory,retailerFoodSeatingType,searchTags,terminal,concourse,gate,hasDelivery,hasPickup,imageBackground,imageLogo,isActive,isChain,openTimesMonday,openTimesTuesday,openTimesWednesday,openTimesThursday,openTimesFriday,openTimesSaturday,openTimesSunday,closeTimesMonday,closeTimesTuesday,closeTimesWednesday,closeTimesThursday,closeTimesFriday,closeTimesSaturday,closeTimesSunday
BOS,B.Good Terminal A,Healthy comfort food made with farm-fresh ingredients,Food,Burger; Salads; Sandwich,2,Food Court,,A,,6,Y,Y,bos-bgood-background.png,bgood-logo.png,Y,Y,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
BOS,B.Good Terminal B,Healthy comfort food made with farm-fresh ingredients,Food,Burger; Salads; Sandwich,2,Food Court,,B,,38,Y,Y,bos-bgood-background.png,bgood-logo.png,Y,Y,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
BOS,Boston Bruins Bar,Full-service bar and dining with a menu specializing in Boston fare,Food,Burger; Salads; Sandwich,2,Sit Down,,A,,13,Y,Y,bos-bruins-background.png,boston-bruins-logo.png,Y,N,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM
BOS,Burger King,"Home of the original Whopper and have it your way with Burger King's high-quality, great-tasting, and affordable food",Food,Fast Food; Burger,2,Food Court,,E,,6,Y,Y,,burger-king-logo.png,N,Y,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM
BOS,Lucca,"Named for the Tuscan town renowned for its extra virgin olive oil, Lucca offers Northern Italian classics, combined with creative innovations",Food,Italian; Pasta; Sandwich; Burger,2,Sit Down,,B,,7,Y,Y,bos-lucca-background.png,bos-lucca-logo.png,Y,N,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
BOS,Not Your Average Joe's,"A neighborhood place, relaxed enough to stop in as you are but with cuisine so creative, you can tell it comes from a chef.",Food,American,2,Sit Down,,B,,29,Y,Y,bos-nyaj-background.png,nyaj-logo.png,Y,Y,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
BOS,Wolfgang Puck Pizza,Wolfgang Puck has revolutionized the dining landscape with a singular focus: to exceed expectations whenever our guests gather for a meal.,Food,Pizza; Sandwich; Salads,2,Food Court,,B,,6,Y,Y,,wolfgang-logo.png,Y,Y,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM
BOS,Mija Cantina,Mija Cantina,Food,Mexican,2,Sit Down,,C,,15,Y,Y,bos-mija-background.png,bos-mija-logo.png,Y ,Y,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
BOS,Legal Test Kitchen,Local seafood cuisine,Food,Seafood,2,Sit Down,,A,,5,Y,Y,bos-ltk-background.png,bos-ltk-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM
BOS,Currito,Fresh customizable mexican food,Food,Mexican,1,Food Court,,A,,18,Y,Y,bos-currito-background.png,bos-currito-logo.png,Y,Y,10:30 AM,10:30 AM,10:30 AM,10:30 AM,10:30 AM,10:30 AM,10:30 AM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM
BOS,Monica's Mercato,Sandwiches and pizza,Food,Sandwich,2,Food Court,,E,,7,Y,Y,bos-monicas-background.png,bos-monicas-logo.png,Y,N,1:00 PM,1:00 PM,1:00 PM,1:00 PM,1:00 PM,1:00 PM,1:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM
