itemCategoryName,itemSecondCategoryName,itemThirdCategoryName,itemPOSName,itemDisplayName,itemDisplayDescription,itemId,itemPrice,priceLevelId,isActive,uniqueRetailerId,uniqueId,itemImageURL,itemTags,itemDisplaySequence,taxCategory,allowedThruSecurity,version
Breakfast,,,Egg Breakfast,Egg Breakfast,"Two extra large eggs cooked to order. Served with seasoned homefries, and your choice of a side.",1,1000,99,N,unique_retailer_id,den_timberline_c_item_1,,breakfast,1,,Y,
Breakfast,,,French Toast,French Toast,Three thick slices of brioche hand dipped in a vanilla cinnamon custard batter. served with your choice of applewood smoked bacon or maple sausage links,2,1100,99,N,unique_retailer_id,den_timberline_c_item_2,,breakfast,2,,Y,
Breakfast,,,Breakfast Burrito,Breakfast Burrito,"Large flour tortilla filled with scrambled eggs, chorizo, homefries, and cheese.",3,1100,99,N,unique_retailer_id,den_timberline_c_item_3,,breakfast,3,,Y,
Breakfast,,,Biscuits & Gravy,Biscuits & Gravy,Two warm biscuits smothered in our handmade mountain style gravy. served with our seasoned homefries and maple sausage links,4,1100,99,N,unique_retailer_id,den_timberline_c_item_4,,breakfast,4,,Y,
Breakfast,,,Pancake Breakfast,Pancake Breakfast,"Three fluffy pancakes, warm syrup and your choice of Applewood smoked bacon or maple sausage links.",5,1200,99,N,unique_retailer_id,den_timberline_c_item_5,,breakfast,5,,Y,
Breakfast,,,Steak & Eggs,Steak & Eggs,Grilled handcut ribeye cooked to perfection. Served over a bed of seasoned homefries and two eggs.,6,1800,99,N,unique_retailer_id,den_timberline_c_item_6,,breakfast,6,,Y,
Breakfast Sides,,,Seasoned Homefries,Seasoned Homefries,,7,300,99,N,unique_retailer_id,den_timberline_c_item_7,,breakfast,1,,Y,
Breakfast Sides,,,One Extra Large Egg,One Extra Large Egg,,8,250,99,N,unique_retailer_id,den_timberline_c_item_8,,breakfast,2,,Y,
Breakfast Sides,,,Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,9,300,99,N,unique_retailer_id,den_timberline_c_item_9,,breakfast,3,,Y,
Breakfast Sides,,,Three Maple Sausage Links,Three Maple Sausage Links,,10,300,99,N,unique_retailer_id,den_timberline_c_item_10,,breakfast,4,,Y,
Breakfast Sides,,,Two Slices Wheat Toast,Two Slices Wheat Toast,,11,200,99,N,unique_retailer_id,den_timberline_c_item_11,,breakfast,5,,Y,
Breakfast Sides,,,English Muffin,English Muffin,,12,200,99,N,unique_retailer_id,den_timberline_c_item_12,,breakfast,6,,Y,
Breakfast Sides,,,Two Pancakes,Two Pancakes,,13,500,99,N,unique_retailer_id,den_timberline_c_item_13,,breakfast,7,,Y,
Breakfast Sides,,,Muffin of the Day,Muffin of the Day,,14,300,99,N,unique_retailer_id,den_timberline_c_item_14,,breakfast,8,,Y,
Starters,,,Hot Wings,Hot Wings,"Jumbo wings and drumsticks tossed in your favorite sauce. Buffalo, BBQ or Caribbean Jerk",15,1000,99,Y,unique_retailer_id,den_timberline_c_item_15,,snack,1,,Y,
Starters,,,Hummus Plate,Hummus Plate,Hummus served with seasonal vegetables & warm flatbread,16,1300,99,Y,unique_retailer_id,den_timberline_c_item_16,,snack,2,,Y,
Starters,,,Loaded Nachos,Loaded Nachos,"Crisp chips, queso sauce, shredded cheese, black beans, pico, jalapenos, guacamole and sour cream. Chicken or Carnitas 16/Steak 19",17,1600,99,Y,unique_retailer_id,den_timberline_c_item_17,,snack,3,,Y,
Starters,,,Fruit & Cheese Plate,Fruit & Cheese Plate,"Fresh fruit, crackers join a selection of local and international cheeses",18,1600,99,Y,unique_retailer_id,den_timberline_c_item_18,,snack,4,,Y,
Starters,,,Cheese Quesadilla,Cheese Quesadilla,"Shredded cheddar jack cheese melted in a flour tortilla. Add chicken, steak or carnitas +3.00",19,1200,99,Y,unique_retailer_id,den_timberline_c_item_19,,snack,5,,Y,
Starters,,,Rocky Mountain Oysters,Rocky Mountain Oysters,Bull fries served with our pub sauce or cocktail sauce,20,1500,99,N,unique_retailer_id,den_timberline_c_item_20,,snack,6,,Y,
Starters,,,House Salad,House Salad,"Mixed lettuce, tomatoes, cucumbers, red onion and crisp croutons",21,900,99,Y,unique_retailer_id,den_timberline_c_item_21,,salad,7,,Y,
Starters,,,Caesar Salad,Caesar Salad,"Crisp romaine, parmesan & croutons tossed in house made Caesar dressing. Add chicken, salmon or steak $7.00",22,1300,99,Y,unique_retailer_id,den_timberline_c_item_22,,salad,8,,Y,
Burgers,,,All American Burger,All American Burger,"All American burger includes lettuce, tomatoes and onions. Can upgrade to a beyond patty for $3.00.",23,1500,99,Y,unique_retailer_id,den_timberline_c_item_23,,burger,1,,Y,
Burgers,,,Fire Burger,Fire Burger,"Fire burger includes spicy queso, roasted green chiles, chipotle aioli. Can upgrade to a beyond patty for $3.00.",24,1700,99,N,unique_retailer_id,den_timberline_c_item_24,,burger,2,,Y,
Burgers,,,Pub Burger,Pub Burger,"Pub burger includes beer braised onions, crisp bacon, swiss cheese and signature pub sauce. Can upgrade to a beyond patty for $3.00.",25,1700,99,N,unique_retailer_id,den_timberline_c_item_25,,burger,3,,Y,
Burgers,,,Truffle Burger,Truffle Burger,"Truffle burger includes roasted mushrooms, brie cheese, organic greens, truffle aioli. Can upgrade to a beyond patty for $3.00.",26,1700,99,N,unique_retailer_id,den_timberline_c_item_26,,burger,4,,Y,
Sandwiches,,,Mile High,Mile High,"Grilled Chicken, Crisp Bacon, Thin Ham, Tomato, Avocado Spread, Fresh Greens with Champagne Vinaigrette",27,1600,99,Y,unique_retailer_id,den_timberline_c_item_27,,sandwich,1,,Y,
Sandwiches,,,Western Slope,Western Slope,"Grilled Chicken, Sliced Green Apples, Brie, Fresh Greens with Strawberry Aioli",28,1600,99,Y,unique_retailer_id,den_timberline_c_item_28,,sandwich,2,,Y,
Sandwiches,,,Pulled Pork,Pulled Pork,"Smoky Pulled Pork, Tangy BBQ Sauce, Coleslaw and Queso Cheese",29,1400,99,Y,unique_retailer_id,den_timberline_c_item_29,,sandwich,3,,Y,
Sandwiches,,,The Greenhouse,The Greenhouse,"Roasted mushrooms, Haystack Mountain goat cheese, zucchini, squash and pesto",30,1500,99,N,unique_retailer_id,den_timberline_c_item_30,,sandwich,4,,Y,
Steaks,,,12oz. Hand Cut Ribeye,12oz. Hand Cut Ribeye,Well Marbled and full of flavor. 12oz. cut of USDA Choice Buckhead beef. SERVED WITH YOUR CHOICE OF TWO SIDES.,31,3500,99,N,unique_retailer_id,den_timberline_c_item_31,,entree,1,,Y,
Steaks,,,8oz. Hand Cut Tenderloin,8oz. Hand Cut Tenderloin,Lean and tender with a great beef flavor. 8oz. cut of USDA Choice Buckhead beef. SERVED WITH YOUR CHOICE OF TWO SIDES.,32,3900,99,N,unique_retailer_id,den_timberline_c_item_32,,entree,2,,Y,
Steaks,,,8oz. Buffalo Sirloin,8oz. Buffalo Sirloin,Higher in protein and lower in fat than beef. Leaner cuts suggested to be cooked medium rare.SERVED WITH YOUR CHOICE OF TWO SIDES.,33,4000,99,N,unique_retailer_id,den_timberline_c_item_33,,entree,3,,Y,
Dessert,,,Chocolate Marquise,Chocolate Marquise,Layers of hazelnut cake and chocolate mousse. Topped with chocolate sauce and hazelnuts,34,900,99,N,unique_retailer_id,den_timberline_c_item_34,,dessert,1,,Y,
Dessert,,,Donut Holes,Donut Holes,Cinnamon sugar donut holes topped with caramel sauce and applewood smoked candied bacon,35,1000,99,N,unique_retailer_id,den_timberline_c_item_35,,dessert,2,,Y,
Dessert,,,D Mar Macarons,D Mar Macarons,Celebrity Chef Keegan Gerhard has teamed up with us to bring you his scratch made French Macarons,36,1200,99,N,unique_retailer_id,den_timberline_c_item_36,,dessert,3,,Y,
Dessert,,,Cheesecake,Cheesecake,"New York style cheesecake, fresh berries",37,900,99,N,unique_retailer_id,den_timberline_c_item_37,,dessert,4,,N,
Specials,,,Two Layer Chef's Choice Cobbler,Two Layer Chef's Choice Cobbler,Fruit cobbler topped with a scoop of vanilla ice cream and cinnamon and brown sugar crumble and garnished with mint & fresh berries,38,800,99,N,unique_retailer_id,den_timberline_c_item_38,,dessert,1,,Y,
Specials,,,Trout Almondine,Trout Almondine,Pan-seared Rocky Mountain trout served with a almond butter sauce. Served with choice of two sides.,39,2900,99,N,unique_retailer_id,den_timberline_c_item_39,,entree,2,,Y,
Specials,,,Double Cut Pork Chop,Double Cut Pork Chop,13 oz. cut marinated and grilled to chef’s recommended medium-well. Served with choice of two sides.,40,3600,99,N,unique_retailer_id,den_timberline_c_item_40,,entree,3,,Y,
Kid's Menu,,,Chicken Tenders,Chicken Tenders,,41,500,99,Y,unique_retailer_id,den_timberline_c_item_41,,kid,1,,Y,
Kid's Menu,,,Grilled Cheese,Grilled Cheese,,42,600,99,Y,unique_retailer_id,den_timberline_c_item_42,,kid,2,,Y,
Kid's Menu,,,Hot Dog,Hot Dog,,43,600,99,Y,unique_retailer_id,den_timberline_c_item_43,,hot dog,3,,Y,
Kid's Menu,,,Mac & Cheese,Mac & Cheese,,44,600,99,Y,unique_retailer_id,den_timberline_c_item_44,,kid,4,,Y,
Kid's Menu,,,Kids Cheese Pizza,Kids Cheese Pizza,,45,600,99,Y,unique_retailer_id,den_timberline_c_item_45,,pizza,5,,Y,
Kid's Menu,,,Kids Pepperoni Pizza,Kids Pepperoni Pizza,,46,700,99,Y,unique_retailer_id,den_timberline_c_item_46,,pizza,6,,Y,
Kid's Menu,,,Kids Sliders,Kids Sliders,,47,600,99,Y,unique_retailer_id,den_timberline_c_item_46,,kid,7,,Y,
